name,investmentFundType,riskRating,ocfTer,fmec,additionalCharge
Aviva Pension 7IM AAP Adventurous S6,Mixed assets,5,0.68,0.18,0.5
Aviva Pension 7IM AAP Balanced Fund S6,Mixed assets,4,0.68,0.18,0.5
Aviva Pension 7IM AAP Moderately Adventurous S6,Mixed assets,4,0.68,0.18,0.5
Aviva Pension 7IM AAP Moderately Cautious S6,Mixed assets,3,0.7,0.2,0.5
Aviva Pension abrdn Asia Pacific Equity S6,Equities,6,0.86,0.11,0.75
Aviva Pension abrdn Diversified Growth And Income S6,Mixed assets,4,0.95,0.45,0.5
Aviva Pension Aegon Ethical Equity S6,Equities  Ethical,6,0.62,0.02,0.6
Aviva Pension American (CGU),Equities  Tracker,6,0,,
Aviva Pension American (GA) S1,Equities  Tracker,6,0,,
Aviva Pension American S12,Equities  Tracker,6,0,,
Aviva Pension American YP (CGU),Equities  Tracker,6,0,0,0
Aviva Pension Artemis Global Income S6,Equities,6,0.87,0.12,0.75
Aviva Pension Artemis High Income S6,Corporate bonds  Global bonds,4,0.59,0.09,0.5
Aviva Pension Artemis Income S6,Equities,6,0.7,0.05,0.65
Aviva Pension Artemis SmartGARP Global Equity S6,Equities,5,0.79,0.14,0.65
Aviva Pension Artemis Strategic Bond S6,Corporate bonds  Global bonds,3,0.49,0.09,0.4
Aviva Pension Artemis UK Select S6,Equities,7,0.79,0.09,0.7
Aviva Pension Artemis UK Smaller Companies S6,Equities,7,0.81,0.11,0.7
Aviva Pension Artemis UK Special Situations S6,Equities,7,0.81,0.11,0.7
Aviva Pension Artemis US Select S6,Equities,6,0.85,0.1,0.75
Aviva Pension AXA Framlington American Growth S6,Equities,6,0.67,0.07,0.6
Aviva Pension AXA Framlington Global Sustainable Managed S6,Mixed assets  Ethical,5,0.67,0.07,0.6
Aviva Pension AXA Framlington UK Select Opportunities S13,Equities,6,0.66,0.06,0.6
Aviva Pension AXA Framlington UK Select Opportunities S6,Equities,6,0.66,0.06,0.6
Aviva Pension Baillie Gifford High Yield Bond S6,Corporate bonds  Global bonds,4,0.37,0.02,0.35
Aviva Pension Baillie Gifford International S6,Equities,7,0.38,0.03,0.35
Aviva Pension Baillie Gifford Managed S6,Mixed assets  Ethical,5,0.31,0.03,0.28
Aviva Pension Baillie Gifford UK and Worldwide Equity S6,Equities  Ethical,6,0.34,0.04,0.3
Aviva Pension BlackRock 50:50 Global Equity Index Tracker S13,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 50:50 Global Equity Index Tracker S2,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 50:50 Global Equity Index Tracker S3,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 50:50 Global Equity Index Tracker S6,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 50:50 Global Equity Index Tracker S7,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 60:40 Global Equity Index Tracker S2,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 60:40 Global Equity Index Tracker S3,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 60:40 Global Equity Index Tracker S6,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 70:30 Global Equity Index Tracker S2,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 70:30 Global Equity Index Tracker S3,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock 70:30 Global Equity Index Tracker S6,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock All Stocks UK Gilt Index Tracker S6,Gilts  Tracker,3,0,0,0
Aviva Pension BlackRock Consensus S13,Mixed assets  Tracker,4,0,0,0
Aviva Pension BlackRock Consensus S2,Mixed assets  Tracker,4,0,0,0
Aviva Pension BlackRock Consensus S3,Mixed assets  Tracker,4,0,0,0
Aviva Pension BlackRock Consensus S5,Mixed assets  Tracker,4,0,0,0
Aviva Pension BlackRock Consensus S6,Mixed assets  Tracker,4,0,0,0
Aviva Pension BlackRock Continental European S6,Equities,7,0.76,0.16,0.6
Aviva Pension BlackRock Corporate Bond Index Tracker S2,Corporate bonds  Global bonds  Tracker,3,0,0,0
Aviva Pension BlackRock Corporate Bond Index Tracker S3,Corporate bonds  Global bonds  Tracker,3,0,0,0
Aviva Pension BlackRock Corporate Bond Index Tracker S6,Corporate bonds  Global bonds  Tracker,3,0,0,0
Aviva Pension BlackRock Corporate Bond Index Tracker S7,Corporate bonds  Global bonds  Tracker,3,0,0,0
Aviva Pension BlackRock Corporate Bond S6,Corporate bonds  Global bonds,3,0.46,0.06,0.4
Aviva Pension BlackRock Developed World Fossil Fuel Screened Index S6,Equities  Ethical  Tracker,6,0.07,0.02,0.05
Aviva Pension BlackRock Emerging Markets Index Tracker S6,Equities  Tracker,7,0.18,0.08,0.1
Aviva Pension BlackRock European Dynamic S6,Equities,7,0.92,0.17,0.75
Aviva Pension BlackRock European Equity Index Tracker S2,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock European Equity Index Tracker S3,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock European Equity Index Tracker S5,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock European Equity Index Tracker S6,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock European Equity Index Tracker S7,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock Gold & General S6,Equities  Specialist/Other,7,0.87,0.17,0.7
Aviva Pension BlackRock Japanese Equity Index Tracker S2,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock Japanese Equity Index Tracker S3,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock Japanese Equity Index Tracker S6,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock Japanese Equity Index Tracker S7,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock Over 15 years Gilt Index Tracker S13,Gilts  Tracker,5,0,0,0
Aviva Pension BlackRock Over 15 years Gilt Index Tracker S2,Gilts  Tracker,5,0,0,0
Aviva Pension BlackRock Over 15 years Gilt Index Tracker S3,Gilts  Tracker,5,0,0,0
Aviva Pension BlackRock Over 15 years Gilt Index Tracker S6,Gilts  Tracker,5,0,0,0
Aviva Pension BlackRock Over 15 years Gilt Index Tracker S7,Gilts  Tracker,5,0,0,0
Aviva Pension BlackRock Over 15 yrs Corp Bond Tracker S2,Corporate bonds  Global bonds  Tracker,5,0,0,0
Aviva Pension BlackRock Over 15 yrs Corp Bond Tracker S3,Corporate bonds  Global bonds  Tracker,5,0,0,0
Aviva Pension BlackRock Over 15 yrs Corp Bond Tracker S6,Corporate bonds  Global bonds  Tracker,5,0,0,0
Aviva Pension BlackRock Over 5 yrs Index-Lkd Gilt Tracker S2,Gilts  Tracker,5,0,0,0
Aviva Pension BlackRock Over 5 yrs Index-Lkd Gilt Tracker S3,Gilts  Tracker,5,0,0,0
Aviva Pension BlackRock Over 5 yrs Index-Lkd Gilt Tracker S6,Gilts  Tracker,5,0,0,0
Aviva Pension BlackRock Overseas Consensus Equity S2,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock Overseas Consensus Equity S3,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock Overseas Consensus Equity S6,Equities  Tracker,5,0.02,0.02,0
Aviva Pension BlackRock Pacific Rim Equity Index Tracker S2,Equities  Tracker,7,0,0,0
Aviva Pension BlackRock Pacific Rim Equity Index Tracker S3,Equities  Tracker,7,0,0,0
Aviva Pension BlackRock Pacific Rim Equity Index Tracker S6,Equities  Tracker,7,0,0,0
Aviva Pension BlackRock Pacific Rim Equity Index Tracker S7,Equities  Tracker,7,0,0,0
Aviva Pension BlackRock Sterling Liquidity S13,Cash/Money market,1,0.05,0,0.05
Aviva Pension BlackRock Sterling Liquidity S6,Cash/Money market,1,0.05,0,0.05
Aviva Pension BlackRock Systematic Multi Allocation Credit S6,Corporate bonds  Global bonds,4,0.29,0.09,0.2
Aviva Pension BlackRock UK Equity Index Tracker S13,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock UK Equity Index Tracker S2,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock UK Equity Index Tracker S3,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock UK Equity Index Tracker S6,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock UK Equity Index Tracker S7,Equities  Tracker,5,0,0,0
Aviva Pension BlackRock UK Gilts Up to 5 Years Index Tracker S6,Gilts,2,0.01,0,0.01
Aviva Pension BlackRock UK S2,Equities,6,0.6,0,0.6
Aviva Pension BlackRock UK S3,Equities,6,0.6,0,0.6
Aviva Pension BlackRock UK S5,Equities,6,0.55,0,0.55
Aviva Pension BlackRock UK S6,Equities,6,0.75,0.15,0.6
Aviva Pension BlackRock UK Smaller Cos S6,Equities,7,0.75,0.15,0.6
Aviva Pension BlackRock UK Special Situations S6,Equities,6,0.75,0.15,0.6
Aviva Pension BlackRock US Dynamic S6,Equities,6,0.74,0.14,0.6
Aviva Pension BlackRock US Equity Index Tracker S2,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock US Equity Index Tracker S3,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock US Equity Index Tracker S5,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock US Equity Index Tracker S6,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock US Equity Index Tracker S7,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock World (ex-UK) Equity Index S6,Equities  Tracker,6,0,0,0
Aviva Pension BlackRock World ESG Insights Equity S6,Equities  Ethical,6,0.08,0.03,0.05
Aviva Pension Blended Portfolio 2 S6,Mixed assets  Specialist/Other,3,0.1,0,0.1
Aviva Pension Blended Portfolio 3 S6,Mixed assets  Specialist/Other,3,0.1,0,0.1
Aviva Pension Blended Portfolio 4 S6,Mixed assets  Specialist/Other,4,0.1,0,0.1
Aviva Pension Blended Portfolio 5 S6,Mixed assets  Specialist/Other,4,0.1,0,0.1
Aviva Pension Blended Portfolio 6 S6,Mixed assets  Specialist/Other,4,0.1,0,0.1
Aviva Pension Blended Portfolio 7 S6,Mixed assets  Specialist/Other,5,0.1,0,0.1
Aviva Pension BNY Mellon Global Income S13,Equities,5,0.81,0.11,0.7
Aviva Pension BNY Mellon Global Income S6,Equities,5,0.81,0.11,0.7
